i 50 || Epoch 1 || train loss 0.029225 || val loss 0.021399 || DSC 0.000
i 100 || Epoch 1 || train loss 0.014697 || val loss 0.018711 || DSC 0.071
i 150 || Epoch 1 || train loss 0.017155 || val loss 0.015855 || DSC 0.303
i 200 || Epoch 1 || train loss 0.015389 || val loss 0.015380 || DSC 0.438
i 250 || Epoch 1 || train loss 0.013185 || val loss 0.013805 || DSC 0.418
i 50 || Epoch 2 || train loss 0.014851 || val loss 0.012851 || DSC 0.468
i 100 || Epoch 2 || train loss 0.012038 || val loss 0.013466 || DSC 0.474
i 150 || Epoch 2 || train loss 0.015324 || val loss 0.011546 || DSC 0.584
i 200 || Epoch 2 || train loss 0.008663 || val loss 0.012211 || DSC 0.483
i 250 || Epoch 2 || train loss 0.009913 || val loss 0.011206 || DSC 0.573
i 50 || Epoch 3 || train loss 0.009287 || val loss 0.011805 || DSC 0.499
i 100 || Epoch 3 || train loss 0.011074 || val loss 0.010651 || DSC 0.633
i 150 || Epoch 3 || train loss 0.011569 || val loss 0.010231 || DSC 0.639
i 200 || Epoch 3 || train loss 0.010411 || val loss 0.010119 || DSC 0.634
i 250 || Epoch 3 || train loss 0.009408 || val loss 0.010023 || DSC 0.607
i 50 || Epoch 4 || train loss 0.008492 || val loss 0.009532 || DSC 0.667
i 100 || Epoch 4 || train loss 0.008393 || val loss 0.009524 || DSC 0.641
i 150 || Epoch 4 || train loss 0.010046 || val loss 0.009643 || DSC 0.654
i 200 || Epoch 4 || train loss 0.009221 || val loss 0.010266 || DSC 0.601
i 250 || Epoch 4 || train loss 0.008268 || val loss 0.009238 || DSC 0.671
i 50 || Epoch 5 || train loss 0.009232 || val loss 0.009067 || DSC 0.675
i 100 || Epoch 5 || train loss 0.008705 || val loss 0.008884 || DSC 0.664
i 150 || Epoch 5 || train loss 0.007331 || val loss 0.008956 || DSC 0.691
i 200 || Epoch 5 || train loss 0.006629 || val loss 0.008917 || DSC 0.682
i 250 || Epoch 5 || train loss 0.009351 || val loss 0.008694 || DSC 0.692
i 50 || Epoch 6 || train loss 0.009211 || val loss 0.009026 || DSC 0.658
i 100 || Epoch 6 || train loss 0.007022 || val loss 0.008438 || DSC 0.696
i 150 || Epoch 6 || train loss 0.006462 || val loss 0.008086 || DSC 0.712
i 200 || Epoch 6 || train loss 0.008093 || val loss 0.008498 || DSC 0.685
i 250 || Epoch 6 || train loss 0.007041 || val loss 0.008301 || DSC 0.702
i 50 || Epoch 7 || train loss 0.007369 || val loss 0.008485 || DSC 0.701
i 100 || Epoch 7 || train loss 0.006162 || val loss 0.007975 || DSC 0.721
i 150 || Epoch 7 || train loss 0.006374 || val loss 0.007887 || DSC 0.713
i 200 || Epoch 7 || train loss 0.007638 || val loss 0.008069 || DSC 0.701
i 250 || Epoch 7 || train loss 0.007398 || val loss 0.007952 || DSC 0.712
i 50 || Epoch 8 || train loss 0.004826 || val loss 0.007428 || DSC 0.733
i 100 || Epoch 8 || train loss 0.005827 || val loss 0.007700 || DSC 0.725
i 150 || Epoch 8 || train loss 0.007587 || val loss 0.008109 || DSC 0.716
i 200 || Epoch 8 || train loss 0.007043 || val loss 0.007595 || DSC 0.727
i 250 || Epoch 8 || train loss 0.006719 || val loss 0.007902 || DSC 0.711
i 50 || Epoch 9 || train loss 0.005310 || val loss 0.007228 || DSC 0.737
i 100 || Epoch 9 || train loss 0.005656 || val loss 0.007183 || DSC 0.741
i 150 || Epoch 9 || train loss 0.006628 || val loss 0.007027 || DSC 0.751
i 200 || Epoch 9 || train loss 0.005889 || val loss 0.007317 || DSC 0.742
i 250 || Epoch 9 || train loss 0.006703 || val loss 0.007266 || DSC 0.735
i 50 || Epoch 10 || train loss 0.006629 || val loss 0.007210 || DSC 0.745
i 100 || Epoch 10 || train loss 0.006715 || val loss 0.007649 || DSC 0.738
i 150 || Epoch 10 || train loss 0.005040 || val loss 0.006980 || DSC 0.755
i 200 || Epoch 10 || train loss 0.005236 || val loss 0.007236 || DSC 0.751
i 250 || Epoch 10 || train loss 0.005464 || val loss 0.006937 || DSC 0.758
i 50 || Epoch 11 || train loss 0.004631 || val loss 0.006841 || DSC 0.755
i 100 || Epoch 11 || train loss 0.005216 || val loss 0.007012 || DSC 0.741
